Name,Artist,Album,Track Number
Cause Of Death (Reissue),Obituary,Cause of Death (Reissue),7
Immortal Rites,Morbid Angel,Altars Of Madness,1
Altar Of Sacrifice,Slayer,Reign In Blood (Expanded),4
Criminally Insane,Slayer,Reign In Blood (Expanded),6
Hooch,Melvins,Houdini,1
War Ensemble,Slayer,Seasons In The Abyss,1
Torn To Pieces,Death,Scream Bloody Gore,8
Leprosy,Death,Leprosy,1
Primitive Ways,Death,Leprosy,7
Hole In The Sky,Black Sabbath,Sabotage,1
Holy Mountain,Sleep,Sleeps Holy Mountain,6
