Name,Artist,Album,Track Number
I Know What I Like (In Your Wardrobe) [New Stereo Mix],Genesis,Selling England By The Pound,2
The Fountain Of Salmacis (New Stereo Mix),Genesis,Nursery Cryme,7
Man Of Our Times (2007 Remastered),Genesis,Duke [2007 Remaster],4
The Return Of The Giant Hogweed [Live],Genesis,Genesis Live,3
Squonk (Live Version From Seconds Out),Genesis,Seconds Out,1
Looking For Someone,Genesis,Trespass,1
Duchess (Live Version From Three Sides Live),Genesis,Three Sides Live,5
Los Endos,Genesis,A Trick Of The Tail,8
Turn It On Again (2007 Remastered Version),Genesis,Duke [2007 Remaster],7
Dance On A Volcano,Genesis,A Trick Of The Tail,1
Watcher Of The Skies (New Stereo Mix),Genesis,Foxtrot,1
Down And Out (2007 Remastered),Genesis,And Then There Were Three [2007 Remaster],1
Follow You Follow Me (2007 Remastered Version),Genesis,And Then There Were Three [2007 Remaster],11
Abacab (2007 Remastered Version),Genesis,Abacab [2007 Remaster],1
Deep In The Motherlode (2007 Remastered),Genesis,And Then There Were Three [2007 Remaster],6
Behind The Lines,Genesis,Duke,1
Another Record (2007 Remastered Version),Genesis,Abacab [2007 Remaster],9
The Knife,Genesis,Trespass,6
