Name,Artist,Album,Track Number
No God's A Man,Gentle Giant,The Power And The Glory,6
Design,Gentle Giant,Interview,3
River,Gentle Giant,Octopus,8
Prologue,Gentle Giant,Three Friends,1
Cogs in Cogs,Gentle Giant,The Power And The Glory,5
Black Cat,Gentle Giant,Acquiring The Taste,7
As Old As You're Young,Gentle Giant,The Missing Piece,6
Knots,Gentle Giant,Octopus,4
Timing,Gentle Giant,Interview,6
Another Show,Gentle Giant,Interview,4
Three Friends,Gentle Giant,Three Friends,6
For Nobody,Gentle Giant,The Missing Piece,9
Words From The Wise,Gentle Giant,Giant For A Day,1
