Name,Artist,Album,Track Number
How Soon Is Now?,The Smiths,The Sound Of The Smiths (Standard Digital Version) (Standard Digital Version),7
Rock Me Amadeus,Falco,The Ultimate Collection,1
Pressure (Album Version),Billy Joel,Greatest Hits Volume I & Volume II,18
Neutron Dance (Radio Mix),The Pointer Sisters,The Best Of The Pointer Sisters,14
Throwing It All Away,Genesis,Platinum Collection,6
You Spin Me Round (Like a Record),Dead Or Alive,That's The Way I Like It: The Best of Dead Or Alive,1
Inside Out,Phil Collins,No Jacket Required,9
We Built This City,Starship,80s Mania,4
Rosanna,Toto,Toto IV,1
Vacation,Go-Go's,Return To The Valley Of The Go-Go's,20
Do You Really Want to Hurt Me (2002 - Remaster),Culture Club,Greatest Hits,1
Hungry Like The Wolf,Duran Duran,Greatest,7
Girls On Film,Duran Duran,Greatest,8
Rio (US Edit),Duran Duran,Greatest,6
The Safety Dance,Men Without Hats,Rhythm of Youth,2
Oh Yeah,Yello,Stella,3
