Name,Artist,Album,Track Number
A Million Years,Wolf Eyes,Human Animal,1
Lake of Roaches,Wolf Eyes,Human Animal,2
Rationed Rot,Wolf Eyes,Human Animal,3
Human Animal,Wolf Eyes,Human Animal,4
Rusted Mange,Wolf Eyes,Human Animal,5
Leper War,Wolf Eyes,Human Animal,6
The Driller,Wolf Eyes,Human Animal,7
Noise Not Music,Wolf Eyes,Human Animal,8
Mind Of Sharp Mind: Fractured/Fractions,Nautical Almanac,Rooting for the Microbes,1
"Exterior Beaten: Bluntly, Clumpy, Stumpy",Nautical Almanac,Rooting for the Microbes,2
Underlayment of Popuelist Skin: Bone Structure Dissolving,Nautical Almanac,Rooting for the Microbes,3
Reason: Mythology Built Upon Physickull Vortextualation,Nautical Almanac,Rooting for the Microbes,4
Widdeling the Reflex Fiddle,Nautical Almanac,Rooting for the Microbes,5
Absorbing and Distorting,Nautical Almanac,Rooting for the Microbes,6
Cross Dementia,Nautical Almanac,Rooting for the Microbes,7
Cohabitation,Nautical Almanac,Rooting for the Microbes,8
1 Million Synapses Frying,Nautical Almanac,Rooting for the Microbes,9
2 Synkapetrols Combining,Nautical Almanac,Rooting for the Microbes,10
Axis Loop Signal: Trade Off/On,Nautical Almanac,Rooting for the Microbes,11
Internal Inate Intuition,Nautical Almanac,Rooting for the Microbes,12
Ocularis,Nautical Almanac,Rooting for the Microbes,13
Jrone (Three),Excepter,Throne,1
Jrone (Two),Excepter,Throne,2
The Heartbeat,Excepter,Throne,3
(The Ass),Excepter,Throne,4
Snarly Yow,Black Dice,Broken Ear Record,1
Smiling Off,Black Dice,Broken Ear Record,2
Heavy Manners,Black Dice,Broken Ear Record,3
ABA,Black Dice,Broken Ear Record,4
Street Dude,Black Dice,Broken Ear Record,5
Twins,Black Dice,Broken Ear Record,6
Motorcycle,Black Dice,Broken Ear Record,7
First Set,Sissy Spacek,15-Tet Oakland,1
Encore,Sissy Spacek,15-Tet Oakland,2
Second Set,Sissy Spacek,15-Tet Oakland,3
Events,Sissy Spacek,Harm,1
Decoder,Sissy Spacek,Harm,2
Nude Strike,Sissy Spacek,Harm,3
Rat Holes,Sissy Spacek,Harm,4
Aktion Cookies,Sissy Spacek,Harm,5
2morro Morro Land,Lightning Bolt,Hypermagic Mountain,1
Captain Caveman,Lightning Bolt,Hypermagic Mountain,2
Birdy,Lightning Bolt,Hypermagic Mountain,3
Riff Wraiths,Lightning Bolt,Hypermagic Mountain,4
Mega Ghost,Lightning Bolt,Hypermagic Mountain,5
Magic Mountain,Lightning Bolt,Hypermagic Mountain,6
Dead Cowboy,Lightning Bolt,Hypermagic Mountain,7
Bizarro Zarro Land,Lightning Bolt,Hypermagic Mountain,8
Mohawk Windmill,Lightning Bolt,Hypermagic Mountain,9
Bizarro Bike,Lightning Bolt,Hypermagic Mountain,10
Infinity Farm,Lightning Bolt,Hypermagic Mountain,11
No Rest for the Obsessed,Lightning Bolt,Hypermagic Mountain,12
Part I,Masonna,Spectrum Ripper,1
Part II,Masonna,Spectrum Ripper,2
Part III,Masonna,Spectrum Ripper,3
Part IV,Masonna,Spectrum Ripper,4
Part V,Masonna,Spectrum Ripper,5
Part VI,Masonna,Spectrum Ripper,6
Part VII,Masonna,Spectrum Ripper,7
Part Viii,Masonna,Spectrum Ripper,8
Part IX,Masonna,Spectrum Ripper,9
Part X,Masonna,Spectrum Ripper,10
Part XI,Masonna,Spectrum Ripper,11
Part XII,Masonna,Spectrum Ripper,12
Part Xiii,Masonna,Spectrum Ripper,13
Part XIV,Masonna,Spectrum Ripper,14
Part XV,Masonna,Spectrum Ripper,15
Part XVI,Masonna,Spectrum Ripper,16
Part Xvii,Masonna,Spectrum Ripper,17
Part Xviii,Masonna,Spectrum Ripper,18
Part XIX,Masonna,Spectrum Ripper,19
Part XX,Masonna,Spectrum Ripper,20
Part XXI,Masonna,Spectrum Ripper,21
Part Xxii,Masonna,Spectrum Ripper,22
Part Xxiii,Masonna,Spectrum Ripper,23
Part Xxiv,Masonna,Spectrum Ripper,24
Part XXV,Masonna,Spectrum Ripper,25
Superdodgeball,Ultra Magnus,"Chemical 1, Chemical 2",1
Arise,Ultra Magnus,"Chemical 1, Chemical 2",2
Original Kuti,Ultra Magnus,"Chemical 1, Chemical 2",3
C.C.C.,Ultra Magnus,"Chemical 1, Chemical 2",4
Papa Ya,Ultra Magnus,"Chemical 1, Chemical 2",5
Suffer M.D.,Ultra Magnus,"Chemical 1, Chemical 2",6
Puddles,Ultra Magnus,"Chemical 1, Chemical 2",7
20,Merzbow,Another Merzbow Records,1
Eat Beat Eat #2,Merzbow,Another Merzbow Records,2
Glass,Merzbow,Another Merzbow Records,3
Hiturbo No.4,Merzbow,Another Merzbow Records,4
Phillo-Jazz Electronica,Merzbow,Another Merzbow Records,5
Pretties For You,Merzbow,Another Merzbow Records,6
Yahowa Stackridge,Merzbow,Another Merzbow Records,7
Audio Public,Merzbow,Another Merzbow Records,8
Eat Beat Eat #1,Merzbow,Another Merzbow Records,9
Elephant Memory,Merzbow,Another Merzbow Records,10
"Elysia, Valley Of The Metal",Merzbow,Another Merzbow Records,11
Superhead,Merzbow,Another Merzbow Records,12
Motorond,Merzbow,Another Merzbow Records,13
Ooga Booga,Merzbow,Another Merzbow Records,14
Ab Hunter,Merzbow,Another Merzbow Records,15
Black Cat,Merzbow,Another Merzbow Records,16
Routemaster,Merzbow,Another Merzbow Records,17
T-2000,Merzbow,Another Merzbow Records,18
Vanlla Groon,Merzbow,Another Merzbow Records,19
Cannibalism of Machine,Merzbow,Tauromachine,1
Emission,Merzbow,Tauromachine,2
Soft Water Rhinoceros,Merzbow,Tauromachine,3
Minotaurus,Merzbow,Tauromachine,4
Heads of Cloud,Merzbow,Tauromachine,5
Untitled Nude Pulse,Merzbow,Tauromachine,6
Wounded Cycad Dub,Merzbow,Tauromachine,7
Outer Bounds of Sound Side 1,K.K. Null,Outer Bounds of Sound,1
Outer Bounds of Sound Side 2,K.K. Null,Outer Bounds of Sound,2
Super You,The Boredoms,Super Ae,1
Super Are,The Boredoms,Super Ae,2
Super Going,The Boredoms,Super Ae,3
Super Coming,The Boredoms,Super Ae,4
Super Are You,The Boredoms,Super Ae,5
Super Shine,The Boredoms,Super Ae,6
Super Good,The Boredoms,Super Ae,7
We Prepare,Hair Police,Mercurial Rites,1
The Crevice,Hair Police,Mercurial Rites,2
Thief's Spring,Hair Police,Mercurial Rites,3
The Scent,Hair Police,Mercurial Rites,4
Dilate And Inhabit,Hair Police,Mercurial Rites,5
Dusk Misplaced,Hair Police,Mercurial Rites,6
Scythed Wide,Hair Police,Mercurial Rites,7
Mercurial Rites,Hair Police,Mercurial Rites,8
EYE (Remix 1),OOIOO,EYE Remix EP,1
EYE (Remix 2),OOIOO,EYE Remix EP,2
UMO,OOIOO,EYE Remix EP,3
UMA,OOIOO,EYE Remix EP,4
