Name,Artist,Album,Track Number
Sneakin' Sally Through The Alley,Robert Palmer,Sneakin' Sally Through The Alley,3
Light Up Or Leave Me Alone,Traffic,The Low Spark Of High Heeled Boys,3
Maiden Voyage,Herbie Hancock,The Best Of Herbie Hancock,3
Hold Your Head Up,Argent,The Argent Anthology: A Collection Of Greatest Hits,1
Boogie On Reggae Woman,Stevie Wonder,The Definitive Collection,13
Cities (Remastered & Extended Version ) (Remastered & Extended Version),Talking Heads,The Name Of This Band Is Talking Heads (Expanded & Remastered),23
Loving Cup,The Rolling Stones,Exile On Main Street (Deluxe Version),9
Cracklin' Rosie,Neil Diamond,The Neil Diamond Collection,2
Also Sprach Zarathustra,Deodato,Prelude (CTI Records 40th Anniversary Edition - Original recording remastered),1
"Corinna (From ""The Natch'l Blues"")",Taj Mahal,The Essential Taj Mahal,5
Funky Bitch,Son Seals,Deluxe Edition,14
When the Circus Comes,Los Lobos,Kiko,8
Ride Captain Ride (as heard in Anchorman: The Legend Of Ron Burgundy),Blues Image,Ride Captain Ride,1
Mighty Quinn (Quinn the Eskimo),Manfred Mann's Earth Band,Watch,7
Paul And Silas (Album Version),Flatt & Scruggs,Foggy Mountain Gospel,25
Waitin' For The Bus,ZZ Top,Tres Hombres [Expanded & Remastered],1
Jesus Just Left Chicago,ZZ Top,Tres Hombres [Expanded & Remastered],2
Roses Are Free,Ween,Chocolate & Cheese,6
Rock And Roll,The Velvet Underground,Loaded,3
Jerry,Josh White,Best Of,27
Walk Away,James Gang,Joe Walsh's Greatest Hits: Little Did He Know...,4
Rocky Top,The Osborne Brothers,From Rocky Top to Muddy Bottom: The Songs of Boudleaux and Felice Bryant,1
Rock and Roll (Part 2),Gary Glitter,The Ultimate Gary Glitter,2
The Ballad Of Curtis Loew,Lynyrd Skynyrd,The Essential Lynyrd Skynyrd,8
Peaches En Regalia,Frank Zappa,Hot Rats,1
Skin It Back,Little Feat,Feats Don't Fail Me Now,3
Purple Rain,Prince,Purple Rain,9
Frankenstein,Edgar Winter,The Best Of Edgar Winter,1
"Take The ""A"" Train",Duke Ellington,Jazz Caravan,1
Life On Mars?,David Bowie,Hunky Dory (1999 Remaster),4
Shaggy Dog,Lightnin' Hopkins,Shaggy Dog,1
Manteca,Dizzy Gillespie and His Orchestra,Ken Burns Jazz-The Story Of America's Music,63
Sparks (Original Album Version),The Who,Tommy (Deluxe Edition),5
On Your Way Down,Little Feat,Dixie Chicken,4
Albuquerque,Neil Young,Tonight's The Night,8
Terrapin (2001 Digital Remaster),Syd Barrett,Wouldn't You Miss Me,0
Foreplay / Long Time,Boston,Boston,3
Bike,Pink Floyd,Relics (1996 Remaster),11
Caravan (1999 Remastered),Duke Ellington,Jazz Caravan,14
Crosseyed And Painless (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),2
