Name,Artist,Album,Track Number
Cosmic Messenger,Jean-Luc Ponty,Cosmic Messenger,1
Puppet's Dance (Album Version-Cosmic Messenger) (-Cosmic Messenger),Jean-Luc Ponty,Cosmic Messenger,5
Egocentric Molecules (Album Version-Cosmic Messenger) (-Cosmic Messenger),Jean-Luc Ponty,Cosmic Messenger,8
King Kong,Jean-Luc Ponty,King Kong,1
Twenty Small Cigars,Jean-Luc Ponty,King Kong,3
Music For Electric Violin And Low Budget Orchestra,Jean-Luc Ponty,King Kong,5
"Final Truth, Part 1",Jean-Luc Ponty,Mystical Adventures,8
"Final Truth, Part II",Jean-Luc Ponty,Mystical Adventures,9
Cosmic Strut,The Mahavishnu Orchestra,Visions Of The Emerald Beyond,7
On the Way Home to Earth,The Mahavishnu Orchestra,Visions Of The Emerald Beyond,13
