Name,Artist,Album,Track Number
At Night,Jonathan Richman,Having a Party with Jonathan Richman,7
I Was Dancing In The Lesbian Bar,Jonathan Richman,"I, Jonathan",5
You're Crazy For Taking The Bus,Jonathan Richman,Jonathan Goes Country,6
The Lonely Little Thrift Store,Jonathan Richman,I'm So Confused,8
Every Day Clothes,Jonathan Richman,Jonathan Richman,3
"I Eat With Gusto, Damn! You Bet",Jonathan Richman,Jonathan Richman,7
No One Was Like Vermeer,Jonathan Richman,Because Her Beauty Is Raw And Wild,2
True Love Is Not Nice,Jonathan Richman,I'm So Confused,4
Parties In The U.S.A.,Jonathan Richman,"I, Jonathan",1
African Lady,The Modern Lovers,Modern Lovers '88,5
