Name,Artist,Album,Track Number
Overture-Cotton Avenue,Joni Mitchell,Don Juan's Reckless Daughter,1
Coyote,Joni Mitchell,Hejira,1
The Jungle Line,Joni Mitchell,The Hissing Of Summer Lawns,2
You Turn Me On I'm A Radio,Joni Mitchell,For The Roses,9
Furry Sings The Blues,Joni Mitchell,Hejira,3
Black Crow,Joni Mitchell,Hejira,7
In France They Kiss On Main Street,Joni Mitchell,The Hissing Of Summer Lawns,1
Pat's Solo (Live Version),Joni Mitchell,Shadows And Light,8
Talk To Me,Joni Mitchell,Don Juan's Reckless Daughter,2
The Hissing Of Summer Lawns,Joni Mitchell,The Hissing Of Summer Lawns,6
A Chair In The Sky,Joni Mitchell,Mingus,4
Don Juan's Reckless Daughter,Joni Mitchell,Don Juan's Reckless Daughter,8
Hejira (Live Version),Joni Mitchell,Shadows And Light,9
