Name,Artist,Album,Track Number
Lonesome Cowboy,Elvis Presley,Jailhouse,18
Lonesome L.A. Cowboy,New Riders Of The Purple Sage,The Adventures Of Panama Red,3
Do Right Woman,The Flying Burrito Brothers,Hot Burritos! The Flying Burrito Brothers Anthology (1969 - 1972),3
Groovy Little Hippie Pad,ZZ Top,El Loco,8
She's Tuff,The Fabulous Thunderbirds,The Fabulous Thunderbirds,6
"El Paso [Live at the Spectrum, Philadelphia, PA, September 21, 1972]",Grateful Dead,"Dick's Picks Vol. 36: 9/21/72 (The Spectrum, Philadelphia, PA)",3
Extra Jimmies,The Fabulous Thunderbirds,What's The Word?,4
Sittin' On Top Of The World,Jerry Reed,Oh What A Woman,7
If You Gotta Go,The Flying Burrito Brothers,The Gilded Palace Of Sin & Burritos,15
Lonesome Cowboy Bill,The Velvet Underground,Loaded,7
Lonesome Cowboy Burt (Swaggart Version),Frank Zappa,The Best Band You Never Heard In Your Life,23
Brushy Mountain Conjugal Trailer,Old Crow Medicine Show,Remedy,1
Lonesome Cowboy Bill,The Velvet Underground,Loaded,7
Lonesome Cowboy Burt (Swaggart Version),Frank Zappa,The Best Band You Never Heard In Your Life,23
