Name,Artist,Album,Track Number
Initial Machine Experiments,Pete Townshend,Scoop,19
Bargain,Pete Townshend,Scoop,10
Guitar And Pen,The Who,Who Are You,7
5:15,The Who,Quadrophenia,11
Baba O'Riley,The Who,Who's Next (Deluxe Edition),1
Going Mobile (Original Album Version),The Who,Who's Next (Deluxe Edition),7
Won't Get Fooled Again (Remix),The Who,Who's Next (Remastered),9
Behind Blue Eyes (Original Album Version),The Who,Who's Next (Deluxe Edition),8
The Real Me,The Who,Quadrophenia,2
Let My Love Open The Door,Pete Townshend,The Definitive Collection,8
Who Are You (Lost Verse Mix),The Who,Who Are You,14
