Name,Artist,Album,Track Number
Every Little Thing She Does Is Magic,The Police,The Police,18
Invisible Sun,The Police,The Police,17
Driven To Tears,The Police,The Police,13
Synchronicity I (2003 Stereo Remastered Version),The Police,Synchronicity (Remastered),1
Wrapped Around Your Finger (2003 Stereo Remastered Version),The Police,Synchronicity (Remastered),9
Spirits In The Material World (2003 Stereo Remastered Version),The Police,Ghost In The Machine (Remastered),1
Walking On The Moon (2003 Stereo Remastered Version),The Police,Reggatta De Blanc (Remastered),6
Does Everyone Stare (2003 Stereo Remastered Version),The Police,Reggatta De Blanc (Remastered),10
Synchronicity II (2003 Stereo Remastered Version),The Police,Synchronicity (Remastered),6
Contact (2003 Stereo Remastered Version),The Police,Reggatta De Blanc (Remastered),9
