Name,Artist,Album,Track Number
Cygnus X-1,Rush,A Farewell To Kings,6
Cygnus X-1,Rush,Hemispheres,1
Lirik Necronomicus Kant,Magma,Attahk,4
Spiritual,Magma,Attahk,2
By-Tor And The Snow Dog,Rush,Fly By Night,4
You Shouldn't Do That (1996 Remastered Version),Hawkwind,In Search Of Space,1
Wreltch,Ozric Tentacles,Pungent Effulgent,9
Sonic Attack,Hawkwind,Space Ritual Vol. 2,4
Disturbance,The Legendary Pink Dots,Maria Dimension,1
Steppenwolf,Hawkwind,"Astounding Sounds, Amazing Music",2
Earthen Gate,Fuzz,Fuzz,1
Battle Theme,Queen,Flash Gordon (Deluxe Remastered Version),13
