Name,Artist,Album,Track Number
Your Gold Teeth,Steely Dan,Countdown To Ecstasy,4
Kid Charlemagne,Steely Dan,The Royal Scam,1
Any Major Dude Will Tell You,Steely Dan,Pretzel Logic,3
Babylon Sisters,Steely Dan,Gaucho,1
Time Out Of Mind,Steely Dan,Gaucho,5
Night By Night,Steely Dan,Pretzel Logic,2
Sign In Stranger,Steely Dan,The Royal Scam,4
Third World Man,Steely Dan,Gaucho,7
The Royal Scam,Steely Dan,The Royal Scam,9
Chain Lightning,Steely Dan,Katy Lied,8
Bodhisattva,Steely Dan,Countdown To Ecstasy,1
Any World (That I'm Welcome To),Steely Dan,Katy Lied,9
Rikki Don't Lose That Number,Steely Dan,Pretzel Logic,1
Your Gold Teeth II,Steely Dan,Katy Lied,7
