Name,Artist,Album,Track Number
"I Need A Miracle [Live at Winterland, December 31, 1978]",Grateful Dead,"The Closing Of Winterland: December 31, 1978",13
"Stagger Lee [Live at Winterland, December 31, 1978]",Grateful Dead,"The Closing Of Winterland: December 31, 1978",8
Foolish Heart,Grateful Dead,Built To Last,1
Feel Like A Stranger (Live October 1989 - April 1990),Grateful Dead,Without A Net,1
Althea (Live October 1989 - April 1990),Grateful Dead,Without A Net,4
Lazy Lightnin',Bob Weir,Kingfish,1
Supplication,Bob Weir,Kingfish,2
Jump For Joy,Bob Weir,Kingfish,6
Morning In Marin,Jerry Garcia,Hooteroll?,1
Evening In Marin,Jerry Garcia,Hooteroll?,9
Throwing Stones,Grateful Dead,In The Dark,6
