Name,Artist,Album,Track Number
Knotty Pine (Remastered Version),Gordon Lightfoot,Salute,6
Both Sides Now (Remastered Version),Joni Mitchell,Dreamland,13
Larry's Latin Leap,Chris Proctor,Steel String Stories,7
Moonglow Rising,Chuck Pyle,Romancing The Moment,1
One Part Be My Lover,Bonnie Raitt,Luck Of The Draw,7
The Hymn of Ordinary Motion,Jerry Douglas,The Masters of Experimental Guitar,2
A Mountaineer is Always Free,Pierce Pettis,State of Grace,5
Processional,William Ackerman,Returning,9
Motels and Planes,Bill Morrissey,Standing Eight,5
Everything Green,Christine Kane,A Friday Night in One Lifetime,3
Granny White Special,"Chris Thile, Bryan Sutton, Byron House, Mark O'Connor",Thirty-Year Retrospective,28
Flowers In The Snow,Jerry Jeff Walker,Navajo Rug,8
Little St. Anne,Neal Hellman,Oktober County,6
Trip On Love,Tom Kimmel,Light of Day,11
Object Of My Affection (Album Version),Shawn Colvin,Fat City,9
Pieces of Eight,Harvey Reid,Of Wind and Water,6
Hearts Overflowing,Jonathan Edwards,"Rollin' Along ""Live in Holland""",13
Ford Econoline,Nanci Griffith,The Complete MCA Studio Recordings,8
My Aunt Francis,Leo Kottke,My Father's Face,6
