Name,Artist,Album,Track Number
Livin' in the Jungle,Flo & Eddie,"Illegal, Immoral and Fattening",5
Machupicchu,Mike Keneally,Wooden Smoke,12
I Come From Nowhere,Frank Zappa,Ship Arriving Too Late To Save A Drowning Witch,3
While You Were Out,Frank Zappa,Shut Up And Play Yer Guitar (3 Record Set),4
Reach For It (Album Version),George Duke,George Duke Greatest Hits,2
The Riddle (Album Version),Steve Vai,Passion And Warfare,5
The Spell,Chad Wackerman,Drum Nation Volume One,5
Dukey Stick (Album Version),George Duke,George Duke Greatest Hits,1
Inca Roads,Frank Zappa,The Best Band You Never Heard In Your Life,13
Steady Freddy,Napoleon Murphy Brock,Balls,1
Scream,Chad Wackerman,Scream,1
Return Of The Son Of Shut Up 'N Play Yer Guitar,Frank Zappa,Shut Up And Play Yer Guitar (3 Record Set),16
Holiday Insane,Chad Wackerman,Forty Reasons,1
Biznis as Usual,Ike Willis,Should'a Gone Before I Left,1
Hello,Mike Keneally,Wooden Smoke,1
"Blond Hair, Blond Teeth",Ike Willis,Dirty Pictures,4
Dirty Pictures,Ike Willis,Dirty Pictures,15
Thoughts Have Turned,Flo & Eddie,The Phlorescent Leech & Eddie / Flo & Eddie,2
The Pop Star Massage Unit,Flo & Eddie,"Illegal, Immoral and Fattening",9
It Never Happened,Flo & Eddie,The Phlorescent Leech & Eddie / Flo & Eddie,3
Tracy Is A Snob,Frank Zappa,"You Can't Do That On Stage Anymore, Vol. 6",16
"Enigmatic Ocean, Part lll",Jean-Luc Ponty,The Very Best Of Jean-Luc Ponty,5
Up From The Sea It Arose And Ate Rio In One Swift Bite (Album Version),George Duke,The Essential George Duke,11
Falling in Circles,Terry Bozzio,Black Light Syndrome,5
Skin Tight,Napoleon Murphy Brock featuring Gregarious Movement,After Frank - 1st Movement,1
Wild Love,Frank Zappa,Sheik Yerbouti,17
Cornbread Crumb,Mike Keneally,You Must Be This Tall,4
Debra Kadabra,Frank Zappa,Bongo Fury,1
The Art Of Happiness (Album Version-Cosmic Messenger) (-Cosmic Messenger),Jean-Luc Ponty,Cosmic Messenger,2
Son Of Reach For It,George Duke,The Essential George Duke,20
Love Theme - the Foreigner from Boston,Ike Willis,Dirty Pictures,7
Click,Mike Keneally Band,Bakin' @ the Potato!,4
Mondo B,Arthur Barrow,AB3,7
"Destination Unknown (TV Mania 12"" Mix - Remixed by Nick Rhodes of Duran Duran & Warren Cuccurullo)",Missing Persons,Walking In L.A. - The Dance Mixes,8
Chunga's Revenge,Aynsley Dunbar,Mutiny,4
Little Umbrellas,Frank Zappa,Hot Rats,4
Juicy Toots,Ian Underwood,Help I Lost My Body,1
Popes,Mike Keneally,You Must Be This Tall,9
Hamburger midnight,Jimmy Carl Black,Is singin' the blues,10
Florentine Pogen,Frank Zappa,The Best Band You Never Heard In Your Life,11
Kung Fu Killer,Flo & Eddie,"Illegal, Immoral and Fattening",7
One of Us,Ed Mann,Perfect World,5
Forty-Four Blues / How Many More Years,Little Feat,Little Feat,7
200 Motels Finale,Frank Zappa,"You Can't Do That On Stage Anymore, Vol. 6",36
Mirage,Jean-Luc Ponty,Enigmatic Ocean,3
King Kong,Jean-Luc Ponty,King Kong,1
Theme From The 3rd Movement Of Sinister Footwear,Frank Zappa,You Are What You Is,5
Twenty Small Cigars,Frank Zappa,Chunga's Revenge,3
The Idiot Bastard Son,Jerry Outlaw,20 Extraordinary Renditions - The Idiot Bastard Son,2
Filthy Habits,Frank Zappa,LÄTHER,23
The Past Sure Is Tense (2006 Digital Remaster),Captain Beefheart,Ice Cream For Crow,7
When I See Mommy I Feel Like A Mummy,Captain Beefheart,Shiny Beast [Bat Chain Puller],7
