Name,Artist,Album,Track Number
Awaken,Yes,Going For The One,5
Changes,Yes,90125 (Deluxe Version),4
High (Previously Unissued),Yes,Tormato (Deluxe Version),14
Leave It,Yes,90125 (Deluxe Version),6
Love Will Find A Way,Yes,Big Generator,5
Going For The One (Remastered Version),Yes,Going For The One (Deluxe Version),1
On The Silent Wings Of Freedom,Yes,Tormato (Deluxe Version),8
Owner Of A Lonely Heart,Yes,90125 (Deluxe Version),1
Hold On,Yes,90125 (Deluxe Version),2
Does It Really Happen (LP/Single Version),Yes,Drama (Deluxe Version),3
"Shoot High, Aim Low",Yes,Big Generator,3
Something To Hold On To,Trevor Rabin,Can't Look Away,2
I Can't Look Away,Trevor Rabin,Can't Look Away,1
Rhythm Of Love,Yes,Big Generator,1
Sole Survivor,Asia,Asia,3
