Name,Artist,Album,Track Number
Starship Trooper [A. Life Seeker; B. Disillusion; C. Wurm],Yes,The Yes Album,3
Heart Of The Sunrise (Remastered Version),Yes,Fragile (Deluxe Version),9
"Close To The Edge (I. The Solid Time Of Change, II. Total Mass Retain, III. I Get Up I Get Down, IV. Seasons Of Man) (Remastered Version)",Yes,Close To The Edge (Deluxe Version),1
We Have Heaven (Remastered Version),Yes,Fragile (Deluxe Version),3
Total Mass Retain (Remastered Single Version),Yes,Close To The Edge (Deluxe Version),5
Yours Is No Disgrace,Yes,The Yes Album,1
Astral Traveller,Yes,Time And A Word,7
Sound Chaser (Remastered Version),Yes,Relayer (Deluxe Version),2
To Be Over (Remastered Version),Yes,Relayer (Deluxe Version),3
Siberian Khatru (Remastered Version),Yes,Close To The Edge (Deluxe Version),3
