Name,Artist,Album,Track Number
Born Under Punches (The Heat Goes On) (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),1
Crosseyed And Painless (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),2
The Great Curve (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),3
Once In A Lifetime (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),4
Houses in Motion (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),5
Seen And Not Seen (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),6
Listening Wind (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),7
The Overload (2005 Remastered Version),Talking Heads,Remain In Light (Deluxe Version),8
Fela's Riff (Unfinished Outtake),Talking Heads,Remain In Light (Deluxe Version),9
Unison (Unfinished Outtake),Talking Heads,Remain In Light (Deluxe Version),10
Double Groove (Unfinished Outtake),Talking Heads,Remain In Light (Deluxe Version),11
Right Start (Unfinished Outtake),Talking Heads,Remain In Light (Deluxe Version),12
Burning Down The House (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),1
Making Flippy Floppy (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),2
Girlfriend Is Better (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),3
Slippery People (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),4
I Get Wild / Wild Gravity (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),5
Swamp (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),6
Moon Rocks (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),7
Pull Up The Roots (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),8
This Must Be The Place (Naive Melody) (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,Speaking In Tongues (Deluxe Version),9
Two Note Swivel (Unfinished Outtake),Talking Heads,Speaking In Tongues (Deluxe Version),10
Burning Down The House (Alternate Version),Talking Heads,Speaking In Tongues (Deluxe Version),11
Thank You For Sending Me An Angel (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),1
With Our Love (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),2
The Good Thing (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),3
Found A Job (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),6
Artists Only (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),7
I'm Not In Love (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),8
The Big Country (2005 Remastered Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),11
Stay Hungry (Remastered 1977 Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),12
I'm Not In Love (Alternate Version ),Talking Heads,More Songs About Buildings And Food (Deluxe Version),13
The Big Country (Alternate Version),Talking Heads,More Songs About Buildings And Food (Deluxe Version),14
Love For Sale (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,True Stories (Deluxe Version),1
Hey Now (2005 Remastered Version),Talking Heads,True Stories (Deluxe Version),3
Wild Wild Life (2005 Remastered Version ) (2005 Remastered Version),Talking Heads,True Stories (Deluxe Version),5
