Name,Artist,Album,Track Number
Wildwood Weed,Jim Stafford,Jim Stafford,4
1st We Blaze It Up,Snoop Dogg,Stoner's EP,1
Roll Me Up,Willie Nelson,Heroes,2
Hikky Burr (Instrumental),"Quincy Jones, Bill Cosby",The Original Jam Sessions 1969,11
Smoke Two Joints,The Tayes,Thump' N Reggae Jamz,7
Panama Red,New Riders Of The Purple Sage,The Adventures Of Panama Red,1
Big Spliff,Murphy's Law,The Best of Times,3
Your Name Is Snake Anthony,Medeski Martin & Wood,Uninvisible,3
Because I Got High,Afroman,The Good Times,1
Under my Sensi,Boozoo Bajou,Satta,8
