Name,Artist,Album,Track Number
"Wasp/Behind The Wall Of Sleep/Bassically/NIB","Black Sabbath","Black Sabbath","3"
"Wicked World","Black Sabbath","Black Sabbath","4"
"Sabbath Bloody Sabbath","Black Sabbath","Sabbath Bloody Sabbath","1"
"A National Acrobat","Black Sabbath","Sabbath Bloody Sabbath","2"
"Sabbra Cadabra","Black Sabbath","Sabbath Bloody Sabbath","4"
"Killing Yourself To Live","Black Sabbath","Sabbath Bloody Sabbath","5"
"Who Are You?","Black Sabbath","Sabbath Bloody Sabbath","6"
"Looking For Today","Black Sabbath","Sabbath Bloody Sabbath","7"
"Spiral Architect","Black Sabbath","Sabbath Bloody Sabbath","8"
"Hole In The Sky","Black Sabbath","Sabotage","1"
"Don't Start (Too Late)","Black Sabbath","Sabotage","2"
"Symptom Of The Universe","Black Sabbath","Sabotage","3"
"Megalomania","Black Sabbath","Sabotage","4"
"Black Sabbath","Black Sabbath","Black Sabbath","1"
"The Thrill Of It All","Black Sabbath","Sabotage","5"
"Supertzar","Black Sabbath","Sabotage","6"
"Am I Going Insane (Radio)","Black Sabbath","Sabotage","7"
"The Writ","Black Sabbath","Sabotage","8"
"Wheels Of Confusion/The Straightener","Black Sabbath","Black Sabbath Vol. 4","1"
"Tomorrow's Dream","Black Sabbath","Black Sabbath Vol. 4","2"
"Changes","Black Sabbath","Black Sabbath Vol. 4","3"
"FX","Black Sabbath","Black Sabbath Vol. 4","4"
"Supernaut","Black Sabbath","Black Sabbath Vol. 4","5"
"Snowblind","Black Sabbath","Black Sabbath Vol. 4","6"
"Cornucopia","Black Sabbath","Black Sabbath Vol. 4","7"
"Laguna Sunrise","Black Sabbath","Black Sabbath Vol. 4","8"
"St. Vitus' Dance","Black Sabbath","Black Sabbath Vol. 4","9"
"Under The Sun / Every Day Comes And GoesOf Confusion / The Straightener","Black Sabbath","Black Sabbath Vol. 4","10"
"Sweet Leaf","Black Sabbath","Master Of Reality","1"
"After Forever","Black Sabbath","Master Of Reality","2"
"Embryo","Black Sabbath","Master Of Reality","3"
"Children Of The Grave","Black Sabbath","Master Of Reality","4"
"Orchid","Black Sabbath","Master Of Reality","5"
"Lord Of This World","Black Sabbath","Master Of Reality","6"
"Solitude","Black Sabbath","Master Of Reality","7"
"Into The Void","Black Sabbath","Master Of Reality","8"
"War Pigs/Luke's Wall","Black Sabbath","Paranoid","1"
"Paranoid","Black Sabbath","Paranoid","2"
"Planet Caravan","Black Sabbath","Paranoid","3"
"Iron Man","Black Sabbath","Paranoid","4"
"Electric Funeral","Black Sabbath","Paranoid","5"
"Hand Of Doom","Black Sabbath","Paranoid","6"
"Rat Salad","Black Sabbath","Paranoid","7"
"Jack The Stripper/Fairies Wear Boots","Black Sabbath","Paranoid","8"
