Name,Artist,Album,Track Number
"Drop Dead Legs","Van Halen","1984","5"
"Little Guitars (Intro) (Intro Album Version)","Van Halen","Diver Down","8"
"Little Guitars","Van Halen","Diver Down","9"
"Unchained","Van Halen","Fair Warning","5"
"I'll Wait","Van Halen","1984","7"
"Everybody Wants Some!!","Van Halen","Women And Children First","2"
"Mean Street","Van Halen","Fair Warning","1"
"Where Have All The Good Times Gone!","Van Halen","Diver Down","1"
"You're No Good","Van Halen","Van Halen II","1"
"Spanish Fly","Van Halen","Van Halen II","7"
"Sinner's Swing!","Van Halen","Fair Warning","3"
"Girl Gone Bad","Van Halen","1984","8"
"Women In Love......","Van Halen","Van Halen II","9"
"Hang 'em High","Van Halen","Diver Down","2"
"Dance The Night Away","Van Halen","Van Halen II","2"
"Best of Both Worlds","Van Halen","5150","6"
"Summer Nights","Van Halen","5150","5"
"Me Wise Magic","Van Halen","Best Of Volume 1","17"
