Name,Artist,Album,Track Number
"Twist","Phish","Farmhouse","2"
"Back On The Train","Phish","Farmhouse","4"
"Gotta Jibboo","Phish","Farmhouse","6"
"First Tube","Phish","Farmhouse","12"
"Free","Phish","Billy Breathes","1"
"Billy Breathes","Phish","Billy Breathes","10"
"Prince Caspian","Phish","Billy Breathes","13"
"Guelah Papyrus","Phish","A Picture Of Nectar","7"
"Cavern","Phish","A Picture Of Nectar","3"
"Tweezer","Phish","A Picture Of Nectar","11"
"Stealing from the Faulty Plan","Phish","Joy","2"
"Guyute","Phish","The Story Of The Ghost","4"
"Meat","Phish","The Story Of The Ghost","3"
"Ghost","Phish","The Story Of The Ghost","1"
"Limb By Limb","Phish","The Story Of The Ghost","7"
"The Moma Dance","Phish","The Story Of The Ghost","13"
"Down With Disease","Phish","(Hoist)","2"
"Wolfman's Brother","Phish","(Hoist)","8"
"Maze","Phish","Rift","4"
"Silent In The Morning","Phish","Rift","15"
"You Enjoy Myself","Phish","Junta","2"
"Fluffhead","Phish","Junta","9"
"Fluff's Travels","Phish","Junta","10"
"David Bowie","Phish","Junta","8"
"The Divided Sky","Phish","Junta","7"
"Tweezer (Reprise)","Phish","A Picture Of Nectar","16"
"Light","Phish","Joy","7"
"Time Turns Elastic","Phish","Joy","9"
"Heavy Things","Phish","Farmhouse","5"
"Sand","Phish","Farmhouse","11"
"Bug","Phish","Farmhouse","3"
"Fikus","Phish","The Story Of The Ghost","5"
"Sand","Phish","Farmhouse","11"
