Name,Artist,Album,Track Number
"Lookin' out the Window","Stevie Ray Vaughan And Double Trouble","Soul To Soul","2"
"She's Tuff","The Fabulous Thunderbirds","The Fabulous Thunderbirds","6"
"Couldn't Stand the Weather","Stevie Ray Vaughan And Double Trouble","Couldn't Stand The Weather (Legacy Edition)","2"
"Cold Shot","Stevie Ray Vaughan And Double Trouble","Couldn't Stand The Weather (Legacy Edition)","5"
"So Excited","Stevie Ray Vaughan And Double Trouble","The Sky Is Crying","9"
"Wall of Denial","Stevie Ray Vaughan And Double Trouble","In Step","7"
"Lenny","Stevie Ray Vaughan And Double Trouble","Srv","8"
"Texas Flood","Stevie Ray Vaughan And Double Trouble","Texas Flood (Legacy Edition)","3"
"Dirty Pool","Stevie Ray Vaughan And Double Trouble","Texas Flood (Legacy Edition)","8"
"Change It","Stevie Ray Vaughan And Double Trouble","Soul To Soul","6"
"Say What!","Stevie Ray Vaughan And Double Trouble","Soul To Soul","1"
"Gone Home","Stevie Ray Vaughan And Double Trouble","Soul To Soul","5"
"Come On, Pt. III","Stevie Ray Vaughan And Double Trouble","Soul To Soul","9"
"Marked Deck","The Fabulous Thunderbirds","The Fabulous Thunderbirds","7"
"One's Too Many","The Fabulous Thunderbirds","Tacos Deluxe","6"
"Los Fabulosos Thunderbirds","The Fabulous Thunderbirds","Tacos Deluxe","13"
"Extra Jimmies","The Fabulous Thunderbirds","What's The Word?","4"
"Last Call For Alcohol","The Fabulous Thunderbirds","What's The Word?","6"
"Texas Twister","Little Feat","Representing The Mambo","1"
"Rad Gumbo","Little Feat","Representing The Mambo","5"
"You Don't Know Me","Butthole Surfers","Independent Worm Saloon","11"
