Name,Artist,Album,Track Number
"Santa Claus And His Old Lady","Cheech & Chong","Santa Claus And His Old Lady","1"
"The Twelve Days Of Christmas","Doug McKenzie, Bob McKenzie","Great White North","15"
"Mele Kalikimaka (Merry Christmas)","Bing Crosby","White Christmas","12"
"A Christmas Song","Jethro Tull","Christmas Album","3"
"Linus & Lucy","Vince Guaraldi Trio","A Charlie Brown Christmas [Expanded] (Remastered)","4"
"Christmastime Is Here (Alternate Vocal Take 5)","Vince Guaraldi Trio","A Charlie Brown Christmas [Expanded] (Remastered)","16"
"Fanfare For The Common Man (Album Version)","Emerson, Lake & Palmer","Come And See The Show: The Best Of Emerson Lake & Palmer","10"
"Feliz Navidad","José Feliciano","Feliz Navidad","1"
"The Fifth Door - Frenetic Energy","Mannheim Steamroller","The Fresh Aire Music of Mannheim Steamroller","9"
"A Holly Jolly Christmas","Burl Ives","Have A Holly Jolly Christmas","1"
"Happy Xmas (War Is Over)","John Lennon, Yoko Ono, The Plastic Ono Band, The Harlem Community Choir","Now That's What I Call Christmas!","19"
"Christmas Time Is Here (Intrumental - Album Version)","Vince Guaraldi Trio","Charlie Brown's Holiday Hits (Remastered)","0"
"Grandma Got Run over by a Reindeer","Elmo & Patsy","Grandma Got Run Over By A Reindeer","1"
"It's the Most Wonderful Time of the Year","Andy Williams","The Andy Williams Christmas Album","4"
"Feliz Navidad","José Feliciano","Feliz Navidad","1"
"Merry Christmas Darling","The Carpenters","From The Top","20"
"I Saw Mommy Kissing Santa Claus","John Mellencamp","A Very Special Christmas (Volume 1)","6"
"Little Saint Nick (1991 Remix)","The Beach Boys","Christmas With The Beach Boys","1"
"Wonderful Christmastime [Edited Version] (2011 Remaster)","Paul McCartney","McCartney II (Special Edition)","18"
"River","Joni Mitchell","Blue","8"
"Rockin' Around The Christmas Tree","Brenda Lee","Jingle Bell Rock","1"
"Santa Claus Is Coming To Town","David Grisman","Acoustic Christmas","2"
"White Christmas","Willie Nelson","Christmas With Willie Nelson","1"
"Here Comes Santa Claus","Willie Nelson","Christmas With Willie Nelson","2"
"First Noel","Willie Nelson","Christmas With Willie Nelson","3"
"Joy to the World","Willie Nelson","Christmas With Willie Nelson","4"
"Pretty Paper","Willie Nelson","Christmas With Willie Nelson","5"
"Silent Night","Willie Nelson","Christmas With Willie Nelson","6"
"Deck the Halls","Willie Nelson","Christmas With Willie Nelson","7"
"Away in a Manger","Willie Nelson","Christmas With Willie Nelson","8"
"Hark the Herald Angels Sing","Willie Nelson","Christmas With Willie Nelson","9"
"O' Little Town of Bethlehem","Willie Nelson","Christmas With Willie Nelson","10"
"El Nino","Willie Nelson","Christmas With Willie Nelson","11"
"What Child Is This?","David Grisman","Acoustic Christmas","1"
"Santa Claus Is Coming To Town","David Grisman","Acoustic Christmas","2"
"Respighi: Ancient Aires and Dances","David Grisman","Acoustic Christmas","3"
"The Christmas Song","David Grisman","Acoustic Christmas","4"
"God Rest Ye Merry Gentlemen","David Grisman","Acoustic Christmas","5"
"We Wish You A Merry Christmas","David Grisman","Acoustic Christmas","6"
"White Christmas","David Grisman","Acoustic Christmas","7"
"Winter Wonderland","David Grisman","Acoustic Christmas","9"
"Auld Lang Syne","David Grisman","Acoustic Christmas","11"
"Marshmallow World","Dean Martin","The Dean Martin Christmas Album","6"
"Up on the Housetop","Gene Autry","Centennial Christmas","9"
"Last Christmas","Wham!","LAST CHRISTMAS","1"
"Santa Claus Is Comin' to Town","The Four Seasons","Santa's Vintage Xmas & Holiday Playlist","3"
"Let It Snow! Let It Snow! Let It Snow!","Frank Sinatra","Smash Xmas Crooners Vol 2","6"
"Blue Christmas","Elvis Presley","Smash Xmas Crooners Vol 2","14"
"Christmas Is Near","Ralph Stanley","A Very Special Acoustic Christmas","8"
"Jingle Bells","Earl Scruggs","A Very Special Acoustic Christmas","7"
"Let It Snow! Let It Snow! Let It Snow!","Sam Bush","A Very Special Acoustic Christmas","12"
"Merry Christmas","Wesley Willis","Rock n Roll Will Never Die","25"
"Last Christmas","Wham!","Christmas Hits","6"
"Pat A Pan","Mannheim Steamroller","Mannheim Steamroller Christmas 25th Anniversary Collection","10"
"Greensleeves","Mannheim Steamroller","A Fresh Aire Christmas","9"
"Joy to the World","Mannheim Steamroller","Mannheim Steamroller Christmas 25th Anniversary Collection","8"
"Christmas in Oakland","Advance Base","A Shut-In's Prayer","5"
"PAPAT4 [155][pineal mix]","Aphex Twin","Syro","10"
"Is That A Shoe In Your Pocket","Rainbow Shoe Club","Satisfied Feet","8"
