Name,Artist,Album,Track Number
"Coyote","Joni Mitchell","Hejira","1"
"You Make Loving Fun","Fleetwood Mac","Rumours","8"
"Ripple","Grateful Dead","American Beauty [Expanded]","6"
"Rosalee Mcfall","Jerry Garcia, David Grisman, Tony Rice","The Pizza Tapes","11"
"Early Morning","Edgar Meyer","The Best of Edgar Meyer","5"
"Walkin' After Midnight (1957 Single Version (4-Star Master))","Patsy Cline","Heartaches","5"
"Loving Cup","The Rolling Stones","Exile On Main Street (Deluxe Version)","9"
"Wild Mountain Honey (2003 Digital Remaster)","Steve Miller Band","Fly Like An Eagle - 30th Anniversary","3"
"The Girl From Ipanema","João Gilberto, Stan Getz","Getz/Gilberto","1"
"Listen To What The Man Said","Paul McCartney","Wingspan","1"
"Hey, Little Mama","Aztec Two-Step","Live and Rare","8"
"Could You Be Loved","Bob Marley & The Wailers","Legend (The Definitive Remasters)","3"
"Idiot Wind","Bob Dylan","Blood On The Tracks","4"
